case_id,original_filename,extraction_method,char_count
case_001,putusan_1002_pid.sus_2021_pn_jkt.tim_20260620230052.pdf,pymupdf,146723
case_002,putusan_1037_pid.sus_2021_pn_jkt.tim_20260620225944.pdf,pymupdf,35683
case_003,putusan_11_pid.sus_2022_pn_jkt.tim_20260620225936.pdf,pymupdf,104992
case_004,putusan_202_pid.sus_2023_pn_jkt.tim_20260619115103.pdf,pymupdf,497686
case_005,putusan_203_pid.sus_2023_pn_jkt.tim_20260620225510.pdf,pymupdf,514618
case_006,putusan_212_pid.sus_2025_pn_jkt.tim_20260620224313.pdf,pymupdf,83039
case_007,putusan_330_pid.sus_2025_pn_jkt.tim_20260620224225.pdf,pymupdf,56476
case_008,putusan_351_pid.sus_2025_pn_jkt.tim_20260620223604.pdf,pymupdf,198620
case_009,putusan_365_pid.sus_2023_pn_jkt.tim_20260620225531.pdf,pymupdf,166510
case_010,putusan_463_pid.sus_2024_pn_jkt.tim_20260620225349.pdf,ocr,351847
case_011,putusan_464_pid.sus_2024_pn_jkt.tim_20260620224818.pdf,pymupdf,353939
case_012,putusan_465_pid.sus_2024_pn_jkt.tim_20260620224836.pdf,ocr,332830
case_013,putusan_477_pid.sus_2024_pn_jkt.tim_20260620224403.pdf,pymupdf,255704
case_014,putusan_497_pid.sus_2025_pn_jkt.tim_20260620223628.pdf,pymupdf,76103
case_015,putusan_524_pid.sus_2024_pn_jkt.tim_20260620225402.pdf,ocr,343743
case_016,putusan_525_pid.sus_2024_pn_jkt.tim_20260620224652.pdf,ocr,343572
case_017,putusan_565_pid.sus_2025_pn_jkt.tim_20260620223418.pdf,pymupdf,148250
case_018,putusan_566_pid.sus_2025_pn_jkt.tim_20260620223550.pdf,pymupdf,140106
case_019,putusan_582_pid.sus_2022_pn_jkt.tim_20260620225859.pdf,pymupdf,46190
case_020,putusan_589_pid.sus_2022_pn_jkt.tim_20260620223638.pdf,pymupdf,46204
case_021,putusan_617_pid.sus_2023_pn_jkt.tim_20260620224133.pdf,pymupdf,76288
case_022,putusan_638_pid.sus_2024_pn_jkt.tim_20260620224437.pdf,pymupdf,41790
case_023,putusan_670_pid.sus_2024_pn_jkt.tim_20260620224641.pdf,pymupdf,74481
case_024,putusan_698_pid.sus_2024_pn_jkt.tim_20260620224527.pdf,pymupdf,74649
case_025,putusan_710_pid.sus_2021_pn_jkt.tim_20260620111020.pdf,pymupdf,61681
case_026,putusan_780_pid.sus_2023_pn_jkt.tim_20260620225417.pdf,pymupdf,170989
case_027,putusan_795_pid.sus_2023_pn_jkt.tim_20260620225410.pdf,pymupdf,104839
case_028,putusan_798_pid.sus_2022_pn_jkt.tim_20260620224040.pdf,pymupdf,70493
case_029,putusan_885_pid.sus_2022_pn_jkt.tim_20260620225658.pdf,pymupdf,115528
case_030,putusan_9_pid.sus_2023_pn_jkt.tim_20260620225600.pdf,pymupdf,69045
